,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,,,
00201600,LOYOLA UNIVERSITY NEW ORLEANS,LA,70118,Private-Nonprofit," 1,170 "," 1,174 "," $4,990,690.00 "," 1,174 "," $2,637,406.00 "," 1,284 "," 1,342 "," $3,874,094.00 "," 1,342 "," $2,071,973.00 ", 562 , 564 ," $10,291,183.00 ", 574 ," $5,368,491.00 ", 247 , 253 ," $4,303,286.00 ", 253 ," $2,270,515.00 ", 281 , 310 ," $6,742,287.00 ", 310 ," $3,739,539.00 ",,70118
00201700,MCNEESE STATE UNIVERSITY,LA,70609,Public," 1,831 "," 1,834 "," $6,728,607.00 "," 1,834 "," $3,659,637.00 "," 1,785 "," 1,805 "," $7,722,722.00 "," 1,807 "," $4,191,895.00 ", 233 , 234 ," $3,214,027.00 ", 235 ," $1,791,732.00 ", 69 , 70 ," $589,568.00 ", 70 ," $331,707.00 ", -   , -   , $-   , -   , $-   ,,70609
00202000,UNIVERSITY OF LOUISIANA AT MONROE,LA,71209,Public," 2,125 "," 2,136 "," $8,104,805.00 "," 2,136 "," $4,447,747.00 "," 2,144 "," 2,209 "," $8,617,362.00 "," 2,209 "," $4,768,174.00 ", 581 , 592 ," $12,095,927.00 ", 592 ," $6,358,290.00 ", 174 , 179 ," $1,307,861.00 ", 180 ," $708,245.00 ", 12 , 12 ," $182,564.00 ", 12 ," $91,716.00 ",,71209
00202100,NORTHWESTERN STATE UNIVERSITY,LA,71497,Public," 2,330 "," 2,357 "," $9,102,178.00 "," 2,357 "," $4,975,103.00 "," 2,479 "," 2,631 "," $11,487,332.00 "," 2,631 "," $6,335,588.00 ", 385 , 393 ," $5,767,937.00 ", 393 ," $3,248,044.00 ", 175 , 186 ," $1,384,783.00 ", 186 ," $721,909.00 ", -   , -   , $-   , -   , $-   ,,71497
00202300,UNIVERSITY OF HOLY CROSS,LA,70131,Private-Nonprofit, 419 , 419 ," $1,594,622.00 ", 419 ," $913,176.00 ", 456 , 462 ," $2,350,171.00 ", 462 ," $1,341,775.00 ", 145 , 145 ," $2,261,088.00 ", 145 ," $1,168,298.00 ", 8 , 8 ," $70,388.00 ", 8 ," $36,388.00 ", 1 , 1 ," $38,466.00 ", 1 ," $12,822.00 ",,70131
00202400,SOUTHEASTERN LOUISIANA UNIVERSITY,LA,70402,Public," 3,619 "," 3,637 "," $13,206,826.00 "," 3,650 "," $7,260,455.00 "," 3,631 "," 3,806 "," $14,395,539.00 "," 3,817 "," $7,897,184.00 ", 287 , 289 ," $3,784,401.00 ", 293 ," $2,191,114.00 ", 203 , 209 ," $1,339,794.00 ", 209 ," $730,915.00 ", -   , -   , $-   , -   , $-   ,,70402
00202500,SOUTHERN UNIVERSITY AND AGRICULTURAL & MECHANICAL COLG AT BATON ROUGE,LA,70813,Public," 3,508 "," 3,530 "," $13,685,929.00 "," 3,530 "," $7,306,901.00 "," 3,554 "," 3,825 "," $14,510,615.00 "," 3,825 "," $7,809,095.00 "," 1,147 "," 1,150 "," $21,277,018.00 "," 1,150 "," $11,130,285.00 ", 550 , 564 ," $4,480,080.00 ", 564 ," $2,381,350.00 ", 251 , 261 ," $3,386,193.00 ", 261 ," $1,770,596.00 ",,70813
00202600,SOUTHERN UNIVERSITY AT NEW ORLEANS,LA,70126,Public," 1,138 "," 1,138 "," $4,476,044.00 "," 1,139 "," $2,383,966.00 "," 1,164 "," 1,164 "," $6,261,856.00 "," 1,178 "," $3,347,077.00 ", 418 , 418 ," $7,631,942.00 ", 428 ," $3,880,261.00 ", 12 , 12 ," $73,684.00 ", 13 ," $41,307.00 ", 1 , 1 ," $10,697.00 ", 1 ," $10,697.00 ",,70126
00202900,TULANE UNIVERSITY,LA,70118,Private-Nonprofit," 1,627 "," 1,627 "," $6,366,220.00 "," 1,635 "," $3,397,633.00 "," 1,755 "," 1,782 "," $6,828,961.00 "," 1,809 "," $3,600,943.00 "," 1,549 "," 1,549 "," $39,512,953.00 "," 1,582 "," $20,298,517.00 ", 278 , 281 ," $6,741,141.00 ", 289 ," $3,537,303.00 "," 1,121 "," 1,123 "," $31,481,084.00 "," 1,196 "," $16,072,870.00 ",,70118
00203100,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LA,70503,Public," 2,020 "," 2,034 "," $8,169,937.00 "," 2,034 "," $4,288,655.00 "," 2,341 "," 2,531 "," $9,860,203.00 "," 2,531 "," $5,123,210.00 ", 200 , 202 ," $2,859,909.00 ", 202 ," $1,613,859.00 ", 290 , 297 ," $2,456,410.00 ", 297 ," $1,324,975.00 ", 2 , 2 ," $20,252.00 ", 2 ," $10,126.00 ",,70503
00203200,XAVIER UNIVERSITY OF LOUISIANA,LA,70125,Private-Nonprofit, 970 , 970 ," $3,959,008.00 ", 971 ," $2,080,723.00 ", 984 ," 1,146 "," $3,541,487.00 "," 1,147 "," $1,837,176.00 ", 515 , 522 ," $12,831,690.00 ", 525 ," $6,480,057.00 ", 389 , 389 ," $7,272,396.00 ", 390 ," $3,780,965.00 ", 197 , 197 ," $3,171,615.00 ", 203 ," $1,587,271.00 ",,70125
00203300,UNIVERSITY OF MAINE PRESQUE ISLE,ME,47692,Public, 367 , 367 ," $1,178,440.00 ", 379 ," $666,986.00 ", 363 , 370 ," $1,133,524.00 ", 371 ," $635,860.00 ", -   , -   , $-   , -   , $-   , 11 , 11 ," $43,132.00 ", 11 ," $26,660.00 ", -   , -   , $-   , -   , $-   ,,47692
00203600,BATES COLLEGE,ME,42406,Private-Nonprofit, 89 , 90 ," $226,852.00 ", 90 ," $114,577.00 ", 125 , 125 ," $577,091.00 ", 125 ," $291,057.00 ", -   , -   , $-   , -   , $-   , 52 , 54 ," $1,246,031.00 ", 54 ," $666,821.00 ", -   , -   , $-   , -   , $-   ,,42406
00203800,BOWDOIN COLLEGE,ME,40118,Private-Nonprofit, 168 , 168 ," $581,782.00 ", 168 ," $297,490.00 ", 208 , 215 ," $959,066.00 ", 215 ," $481,918.00 ", -   , -   , $-   , -   , $-   , 77 , 77 ," $1,899,027.00 ", 77 ," $974,323.00 ", -   , -   , $-   , -   , $-   ,,40118
00203900,COLBY COLLEGE,ME,49018,Private-Nonprofit, 196 , 196 ," $718,434.00 ", 197 ," $363,938.00 ", 260 , 261 ," $1,114,253.00 ", 265 ," $549,738.00 ", -   , -   , $-   , -   , $-   , 62 , 62 ," $1,723,554.00 ", 62 ," $929,844.00 ", -   , -   , $-   , -   , $-   ,,49018
00204000,UNIVERSITY OF MAINE - FARMINGTON,ME,49381,Public," 1,009 "," 1,033 "," $4,071,125.00 "," 1,033 "," $2,205,899.00 "," 1,032 "," 1,086 "," $3,300,257.00 "," 1,089 "," $1,797,706.00 ", 13 , 14 ," $157,572.00 ", 14 ," $82,029.00 ", 77 , 81 ," $697,594.00 ", 81 ," $384,551.00 ", -   , -   , $-   , -   , $-   ,,49381
00204100,UNIVERSITY OF MAINE - FORT KENT,ME,47431,Public, 367 , 371 ," $1,338,207.00 ", 371 ," $728,390.00 ", 390 , 410 ," $1,701,540.00 ", 413 ," $948,589.00 ", -   , -   , $-   , -   , $-   , 15 , 15 ," $115,793.00 ", 15 ," $65,364.00 ", -   , -   , $-   , -   , $-   ,,47431
00204300,HUSSON UNIVERSITY,ME,44012,Private-Nonprofit," 1,642 "," 1,644 "," $6,821,870.00 "," 1,644 "," $3,583,683.00 "," 1,715 "," 1,826 "," $5,845,057.00 "," 1,826 "," $3,091,607.00 ", 424 , 426 ," $9,799,045.00 ", 426 ," $4,789,849.00 ", 246 , 248 ," $2,648,511.00 ", 250 ," $1,471,464.00 ", 97 , 98 ," $979,698.00 ", 98 ," $508,744.00 ",,44012
00204400,MAINE MARITIME ACADEMY,ME,44200,Public, 610 , 610 ," $2,660,380.00 ", 610 ," $1,383,479.00 ", 669 , 700 ," $2,244,041.00 ", 700 ," $1,163,155.00 ", 24 , 24 ," $359,847.00 ", 24 ," $199,597.00 ", 162 , 163 ," $2,941,454.00 ", 163 ," $1,566,578.00 ", 8 , 9 ," $118,555.00 ", 9 ," $61,279.00 ",,44200
00205000,UNIVERSITY OF NEW ENGLAND,ME,40059,Private-Nonprofit," 1,546 "," 1,547 "," $6,724,847.00 "," 1,547 "," $3,466,382.00 "," 1,608 "," 1,611 "," $4,951,199.00 "," 1,611 "," $2,562,431.00 "," 1,473 "," 1,482 "," $39,564,945.00 "," 1,482 "," $20,285,338.00 ", 331 , 336 ," $6,694,634.00 ", 336 ," $3,698,920.00 "," 1,278 "," 1,282 "," $19,568,814.00 "," 1,282 "," $19,434,057.00 ",,40059
00205100,SAINT JOSEPH'S COLLEGE,ME,40845,Private-Nonprofit, 546 , 547 ," $2,171,395.00 ", 547 ," $1,148,117.00 ", 606 , 633 ," $1,776,852.00 ", 633 ," $948,896.00 ", 200 , 200 ," $769,814.00 ", 201 ," $674,870.00 ", 121 , 122 ," $1,831,043.00 ", 122 ," $1,002,704.00 ", 1 , 1 ," $4,550.00 ", 1 ," $4,550.00 ",,40845
00205200,THOMAS COLLEGE,ME,49015,Private-Nonprofit, 473 , 473 ," $1,889,961.00 ", 486 ," $980,722.00 ", 491 , 496 ," $1,486,100.00 ", 509 ," $771,754.00 ", 60 , 61 ," $800,220.00 ", 77 ," $401,456.00 ", 78 , 79 ," $766,419.00 ", 81 ," $395,159.00 ", 2 , 2 ," $13,465.00 ", 2 ," $6,733.00 ",,49015
00205300,UNIVERSITY OF MAINE,ME,44690,Public," 3,766 "," 3,811 "," $15,652,536.00 "," 3,813 "," $8,383,445.00 "," 4,128 "," 4,291 "," $14,826,214.00 "," 4,303 "," $7,787,922.00 ", 313 , 337 ," $4,209,509.00 ", 338 ," $2,258,203.00 ", 466 , 498 ," $5,540,910.00 ", 499 ," $3,102,399.00 ", 17 , 18 ," $135,669.00 ", 18 ," $77,555.00 ",,44690
00205400,UNIVERSITY OF SOUTHERN MAINE,ME,41049,Public," 2,249 "," 2,251 "," $8,094,371.00 "," 2,295 "," $4,470,635.00 "," 2,178 "," 2,238 "," $8,602,084.00 "," 2,305 "," $4,754,399.00 ", 674 , 679 ," $10,062,577.00 ", 687 ," $5,445,456.00 ", 227 , 231 ," $2,099,998.00 ", 236 ," $1,281,056.00 ", 309 , 335 ," $3,472,316.00 ", 349 ," $1,849,936.00 ",,41049
00205500,UNIVERSITY OF MAINE - MACHIAS,ME,46541,Public, 222 , 222 ," $853,055.00 ", 224 ," $464,092.00 ", 205 , 211 ," $741,055.00 ", 212 ," $405,828.00 ", -   , -   , $-   , -   , $-   , 9 , 9 ," $87,543.00 ", 11 ," $47,594.00 ", -   , -   , $-   , -   , $-   ,,46541
00205700,ALLEGANY COLLEGE OF MARYLAND,MD,21502,Public, 945 , 947 ," $3,018,988.00 ", 952 ," $1,670,694.00 ", 941 , 942 ," $3,369,642.00 ", 948 ," $1,889,644.00 ", -   , -   , $-   , -   , $-   , 43 , 45 ," $407,569.00 ", 45 ," $212,963.00 ", -   , -   , $-   , -   , $-   ,,21502
00205800,ANNE ARUNDEL COMMUNITY COLLEGE,MD,21012,Public, 866 , 866 ," $2,663,576.00 ", 866 ," $1,542,609.00 ", 713 , 713 ," $2,473,816.00 ", 713 ," $1,416,477.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $17,000.00 ", 3 ," $10,000.00 ", -   , -   , $-   , -   , $-   ,,21012
00206200,BOWIE STATE UNIVERSITY,MD,20715,Public," 1,537 "," 1,546 "," $6,339,940.00 "," 1,546 "," $3,329,324.00 "," 1,517 "," 1,679 "," $6,745,794.00 "," 1,679 "," $3,585,347.00 ", 438 , 440 ," $7,327,296.00 ", 440 ," $3,834,479.00 ", 207 , 207 ," $2,405,191.00 ", 207 ," $1,231,693.00 ", 28 , 28 ," $215,091.00 ", 28 ," $132,402.00 ",,20715
00206300,COMMUNITY COLLEGE OF BALTIMORE COUNTY,MD,21228,Public," 2,446 "," 2,494 "," $7,486,023.00 "," 2,494 "," $4,362,782.00 "," 2,273 "," 2,338 "," $9,701,306.00 "," 2,338 "," $5,491,462.00 ", -   , -   , $-   , -   , $-   , 69 , 69 ," $499,785.00 ", 69 ," $471,930.00 ", -   , -   , $-   , -   , $-   ,,21228
00206500,NOTRE DAME OF MARYLAND UNIVERSITY,MD,21210,Private-Nonprofit, 256 , 256 ," $1,063,026.00 ", 256 ," $581,916.00 ", 288 , 316 ," $1,238,662.00 ", 316 ," $668,970.00 ", 206 , 206 ," $5,809,201.00 ", 206 ," $3,079,475.00 ", 30 , 30 ," $425,684.00 ", 30 ," $244,091.00 ", 115 , 116 ," $2,696,801.00 ", 116 ," $1,378,077.00 ",,21210
00206800,COPPIN STATE UNIVERSITY,MD,21216,Public," 1,352 "," 1,352 "," $5,555,399.00 "," 1,352 "," $3,050,259.00 "," 1,237 "," 1,297 "," $6,030,804.00 "," 1,298 "," $3,321,204.00 ", 215 , 215 ," $4,035,238.00 ", 217 ," $2,076,692.00 ", 58 , 58 ," $618,950.00 ", 60 ," $330,489.00 ", -   , -   , $-   , -   , $-   ,,21216
00207100,FREDERICK COMMUNITY COLLEGE,MD,21702,Public, 209 , 209 ," $624,178.00 ", 209 ," $346,934.00 ", 235 , 235 ," $833,253.00 ", 235 ," $470,489.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $9,863.00 ", 2 ," $9,863.00 ", -   , -   , $-   , -   , $-   ,,21702
00207200,FROSTBURG STATE UNIVERSITY,MD,21532,Public," 2,025 "," 2,062 "," $7,889,731.00 "," 2,062 "," $4,276,629.00 "," 2,284 "," 2,503 "," $8,359,964.00 "," 2,503 "," $4,610,115.00 ", 181 , 186 ," $2,260,208.00 ", 186 ," $1,338,718.00 ", 473 , 506 ," $5,096,551.00 ", 506 ," $2,742,594.00 ", 5 , 6 ," $22,312.00 ", 6 ," $11,398.00 ",,21532
00207300,GOUCHER COLLEGE,MD,21204,Private-Nonprofit, 626 , 627 ," $2,771,436.00 ", 627 ," $1,426,651.00 ", 683 , 712 ," $2,097,638.00 ", 712 ," $1,085,021.00 ", 96 , 99 ," $1,340,400.00 ", 99 ," $773,789.00 ", 164 , 168 ," $2,954,525.00 ", 168 ," $1,574,739.00 ", 12 , 13 ," $102,335.00 ", 13 ," $92,024.00 ",,21204
00207400,HAGERSTOWN COMMUNITY COLLEGE,MD,21742,Public, 5 , 5 ," $7,800.00 ", 5 ," $7,800.00 ", 4 , 4 ," $12,950.00 ", 4 ," $12,950.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,21742
00207500,HARFORD COMMUNITY COLLEGE,MD,21015,Public, 268 , 271 ," $751,084.00 ", 271 ," $417,222.00 ", 333 , 336 ," $1,244,470.00 ", 336 ," $675,013.00 ", -   , -   , $-   , -   , $-   , 11 , 11 ," $45,255.00 ", 11 ," $25,405.00 ", -   , -   , $-   , -   , $-   ,,21015
00207600,HOOD COLLEGE,MD,21701,Private-Nonprofit, 678 , 678 ," $2,967,329.00 ", 678 ," $1,566,927.00 ", 758 , 758 ," $2,910,685.00 ", 758 ," $1,531,011.00 ", 123 , 123 ," $1,394,251.00 ", 123 ," $718,110.00 ", 163 , 164 ," $3,010,160.00 ", 164 ," $1,575,820.00 ", 2 , 2 ," $22,973.00 ", 2 ," $12,704.00 ",,21701
00207700,JOHNS HOPKINS UNIVERSITY,MD,21218,Private-Nonprofit," 1,166 "," 1,169 "," $4,691,329.00 "," 1,169 "," $2,412,639.00 ", 713 , 736 ," $2,880,515.00 ", 736 ," $1,485,703.00 "," 2,781 "," 3,235 "," $55,132,649.00 "," 3,452 "," $25,277,841.00 ", 280 , 282 ," $7,200,328.00 ", 282 ," $3,740,214.00 ", 757 , 785 ," $21,030,845.00 ", 853 ," $9,674,494.00 ",,21218
00207800,LOYOLA UNIVERSITY MARYLAND,MD,21210,Private-Nonprofit," 1,689 "," 1,689 "," $7,810,951.00 "," 1,689 "," $3,952,024.00 "," 1,884 "," 1,946 "," $5,624,566.00 "," 1,946 "," $2,851,782.00 ", 367 , 388 ," $6,759,481.00 ", 389 ," $3,606,098.00 ", 610 , 627 ," $14,666,513.00 ", 629 ," $7,501,054.00 ", 74 , 75 ," $1,347,315.00 ", 75 ," $667,787.00 ",,21210
00208000,MARYLAND INSTITUTE COLLEGE OF ART,MD,21217,Private-Nonprofit, 699 , 699 ," $3,067,195.00 ", 699 ," $1,625,785.00 ", 773 , 797 ," $2,443,076.00 ", 797 ," $1,308,099.00 ", 145 , 145 ," $2,767,580.00 ", 145 ," $1,440,508.00 ", 284 , 290 ," $7,461,578.00 ", 290 ," $3,890,159.00 ", 100 , 100 ," $2,316,507.00 ", 100 ," $1,187,535.00 ",,21217
00208300,MORGAN STATE UNIVERSITY,MD,21251,Public," 3,483 "," 3,486 "," $14,228,365.00 "," 3,491 "," $7,452,619.00 "," 3,675 "," 4,107 "," $14,955,546.00 "," 4,113 "," $7,882,231.00 ", 537 , 542 ," $9,309,816.00 ", 546 ," $4,823,608.00 ", 722 , 737 ," $10,595,391.00 ", 742 ," $5,427,672.00 ", 56 , 57 ," $965,652.00 ", 57 ," $495,690.00 ",,21251
00208600,MOUNT SAINT MARY'S UNIVERSITY,MD,21727,Private-Nonprofit, 786 , 786 ," $3,279,598.00 ", 786 ," $1,703,571.00 ", 956 ," 1,004 "," $3,238,010.00 "," 1,004 "," $1,695,803.00 ", 106 , 108 ," $665,253.00 ", 108 ," $393,924.00 ", 295 , 310 ," $6,150,881.00 ", 310 ," $3,283,236.00 ", -   , -   , $-   , -   , $-   ,,21727
00208900,PRINCE GEORGE'S COMMUNITY COLLEGE,MD,20774,Public," 1,906 "," 1,906 "," $5,938,935.00 "," 1,906 "," $3,475,728.00 "," 1,694 "," 1,694 "," $6,784,784.00 "," 1,694 "," $3,979,880.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $26,729.00 ", 4 ," $13,413.00 ", -   , -   , $-   , -   , $-   ,,20774
00209100,SALISBURY UNIVERSITY,MD,21801,Public," 2,816 "," 2,850 "," $11,554,601.00 "," 2,850 "," $6,276,807.00 "," 3,291 "," 3,584 "," $13,211,228.00 "," 3,584 "," $7,108,422.00 ", 253 , 273 ," $3,820,822.00 ", 273 ," $2,042,899.00 "," 1,261 "," 1,311 "," $17,128,565.00 "," 1,311 "," $9,250,557.00 ", 57 , 59 ," $225,479.00 ", 59 ," $119,341.00 ",,21801
00209200,ST. JOHN'S COLLEGE,MD,21401,Private-Nonprofit, 212 , 212 ," $936,792.00 ", 212 ," $481,929.00 ", 214 , 221 ," $643,336.00 ", 221 ," $334,003.00 ", 13 , 13 ," $190,378.00 ", 13 ," $93,320.00 ", 41 , 42 ," $838,516.00 ", 42 ," $429,717.00 ", -   , -   , $-   , -   , $-   ,,21401
00209300,SAINT JOHN'S COLLEGE,NM,87505,Private-Nonprofit, 146 , 146 ," $659,852.00 ", 146 ," $337,164.00 ", 138 , 145 ," $433,280.00 ", 145 ," $221,774.00 ", 30 , 31 ," $464,767.00 ", 31 ," $226,231.00 ", 30 , 30 ," $534,877.00 ", 30 ," $286,177.00 ", 6 , 6 ," $36,648.00 ", 6 ," $18,993.00 ",,87505
00209500,ST MARYS COLLEGE OF MARYLAND,MD,20686,Public, 394 , 397 ," $1,649,476.00 ", 397 ," $859,237.00 ", 559 , 584 ," $2,323,148.00 ", 584 ," $1,196,426.00 ", -   , -   , $-   , -   , $-   , 272 , 273 ," $4,084,220.00 ", 273 ," $2,131,043.00 ", -   , -   , $-   , -   , $-   ,,20686
00209900,TOWSON UNIVERSITY,MD,21252,Public," 6,444 "," 6,581 "," $25,151,335.00 "," 6,581 "," $13,490,802.00 "," 7,287 "," 7,811 "," $28,245,127.00 "," 7,811 "," $15,137,421.00 ", 791 , 837 ," $10,189,422.00 ", 837 ," $5,910,408.00 "," 2,452 "," 2,472 "," $34,494,492.00 "," 2,472 "," $18,486,975.00 ", 37 , 39 ," $295,056.00 ", 39 ," $184,230.00 ",,21252
00210200,UNIVERSITY OF BALTIMORE,MD,21201,Public," 1,253 "," 1,259 "," $5,136,936.00 "," 1,259 "," $2,806,369.00 "," 1,101 "," 1,138 "," $5,646,397.00 "," 1,138 "," $3,138,999.00 "," 1,429 "," 1,449 "," $24,957,421.00 "," 1,449 "," $13,572,499.00 ", 31 , 31 ," $313,634.00 ", 31 ," $191,711.00 ", 447 , 450 ," $8,182,161.00 ", 456 ," $4,456,712.00 ",,21201
00210300,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,20742,Public," 5,917 "," 6,071 "," $25,646,450.00 "," 6,071 "," $13,355,995.00 "," 6,661 "," 7,085 "," $26,477,863.00 "," 7,085 "," $13,676,843.00 "," 1,440 "," 1,589 "," $22,955,522.00 "," 1,589 "," $12,559,716.00 "," 1,291 "," 1,338 "," $23,625,386.00 "," 1,338 "," $12,354,673.00 ", 678 , 784 ," $12,124,600.00 ", 784 ," $6,534,859.00 ",,20742
00210400,"UNIVERSITY OF MARYLAND, BALTIMORE",MD,21201,Public, 282 , 282 ," $1,266,981.00 ", 282 ," $712,121.00 ", 257 , 257 ," $1,320,468.00 ", 261 ," $748,389.00 "," 2,403 "," 2,405 "," $54,977,609.00 "," 2,420 "," $28,266,738.00 ", 14 , 14 ," $212,809.00 ", 15 ," $108,363.00 "," 1,368 "," 1,380 "," $32,031,030.00 "," 1,398 "," $16,625,405.00 ",,21201
00210500,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,MD,21250,Public," 3,237 "," 3,358 "," $13,051,174.00 "," 3,358 "," $7,129,697.00 "," 3,415 "," 3,599 "," $13,428,700.00 "," 3,599 "," $7,291,411.00 ", 370 , 385 ," $5,361,118.00 ", 386 ," $3,023,085.00 ", 416 , 427 ," $5,836,922.00 ", 427 ," $3,175,657.00 ", 7 , 7 ," $151,277.00 ", 7 ," $77,262.00 ",,21250
00210600,UNIVERSITY OF MARYLAND - EASTERN SHORE,MD,21853,Public," 1,543 "," 1,548 "," $6,088,211.00 "," 1,550 "," $3,231,364.00 "," 1,537 "," 1,793 "," $5,473,445.00 "," 1,794 "," $2,942,823.00 ", 368 , 527 ," $8,562,516.00 ", 527 ," $4,432,960.00 ", 488 , 507 ," $5,623,623.00 ", 507 ," $2,925,109.00 ", 202 , 208 ," $2,730,439.00 ", 210 ," $1,378,653.00 ",,21853
00210700,STEVENSON UNIVERSITY,MD,21153,Private-Nonprofit," 1,947 "," 1,948 "," $8,174,962.00 "," 1,948 "," $4,410,012.00 "," 2,128 "," 2,130 "," $7,808,638.00 "," 2,130 "," $4,202,096.00 ", 213 , 214 ," $3,199,360.00 ", 214 ," $1,863,309.00 ", 799 , 807 ," $15,696,369.00 ", 807 ," $8,377,963.00 ", -   , -   , $-   , -   , $-   ,,21153
00210800,WASHINGTON COLLEGE,MD,21620,Private-Nonprofit, 656 , 656 ," $2,533,383.00 ", 656 ," $1,468,828.00 ", 722 , 722 ," $2,189,758.00 ", 722 ," $1,130,282.00 ", 1 , 1 ," $2,898.00 ", 1 ," $2,898.00 ", 233 , 235 ," $5,524,357.00 ", 235 ," $2,886,849.00 ", -   , -   , $-   , -   , $-   ,,21620
00210900,MCDANIEL COLLEGE,MD,21157,Private-Nonprofit, 806 , 812 ," $3,491,380.00 ", 812 ," $1,822,148.00 ", 922 ," 1,001 "," $3,066,022.00 "," 1,001 "," $1,604,958.00 ", 77 , 79 ," $1,211,505.00 ", 79 ," $710,014.00 ", 191 , 194 ," $2,977,867.00 ", 194 ," $1,582,248.00 ", 2 , 2 ," $8,780.00 ", 2 ," $4,390.00 ",,21157
00211400,AMERICAN INTERNATIONAL COLLEGE,MA,11093,Private-Nonprofit, 977 , 985 ," $4,043,996.00 ", 990 ," $2,202,637.00 "," 1,064 "," 1,159 "," $3,950,686.00 "," 1,163 "," $2,146,094.00 ", 832 , 835 ," $8,817,911.00 ", 855 ," $4,261,531.00 ", 213 , 220 ," $2,698,428.00 ", 220 ," $1,450,305.00 ", 72 , 74 ," $1,976,524.00 ", 87 ," $1,084,047.00 ",,11093
00211500,AMHERST COLLEGE,MA,10025,Private-Nonprofit, 202 , 202 ," $733,525.00 ", 202 ," $393,496.00 ", 184 , 188 ," $658,623.00 ", 188 ," $335,737.00 ", -   , -   , $-   , -   , $-   , 73 , 74 ," $2,059,639.00 ", 74 ," $1,107,156.00 ", -   , -   , $-   , -   , $-   ,,10025
00211600,ANDOVER NEWTON THEOLOGICAL SCHOOL,MA,24592,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 85 , 90 ," $1,076,924.00 ", 91 ," $601,112.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $99,326.00 ", 6 ," $49,663.00 ",,24592
00211700,ANNA MARIA COLLEGE,MA,16121,Private-Nonprofit, -   , -   , $-   , -   , $-   , 1 , 1 ," $2,740.00 ", 1 ," $2,740.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,16121
00211800,ASSUMPTION COLLEGE,MA,16151,Private-Nonprofit," 1,090 "," 1,090 "," $4,694,558.00 "," 1,090 "," $2,429,748.00 "," 1,361 "," 1,361 "," $4,811,171.00 "," 1,361 "," $2,489,655.00 ", 70 , 70 ," $1,215,275.00 ", 70 ," $643,572.00 ", 217 , 225 ," $3,731,727.00 ", 225 ," $1,982,284.00 ", 3 , 3 ," $17,281.00 ", 3 ," $17,281.00 ",,16151
00212000,MERRIMACK COLLEGE,MA,18455,Private-Nonprofit," 1,515 "," 1,515 "," $6,640,668.00 "," 1,515 "," $3,407,001.00 "," 1,826 "," 1,855 "," $5,735,794.00 "," 1,855 "," $2,957,174.00 ", 75 , 75 ," $1,255,268.00 ", 75 ," $684,758.00 ", 303 , 309 ," $6,613,801.00 ", 309 ," $3,435,038.00 ", 3 , 3 ," $36,292.00 ", 3 ," $18,146.00 ",,18455
00212100,BABSON COLLEGE,MA,24570,Private-Nonprofit, 578 , 578 ," $2,534,991.00 ", 578 ," $1,287,523.00 ", 512 , 520 ," $1,748,576.00 ", 520 ," $897,243.00 ", 148 , 148 ," $2,891,766.00 ", 148 ," $1,594,615.00 ", 58 , 58 ," $1,347,892.00 ", 58 ," $727,590.00 ", 33 , 33 ," $1,097,817.00 ", 33 ," $559,347.00 ",,24570
00212200,BAY PATH UNIVERSITY,MA,11062,Private-Nonprofit, 520 , 520 ," $2,285,564.00 ", 520 ," $1,206,107.00 ", 553 , 622 ," $2,045,475.00 ", 622 ," $1,086,576.00 ", 244 , 244 ," $4,862,691.00 ", 244 ," $2,454,525.00 ", 119 , 119 ," $1,321,031.00 ", 119 ," $777,238.00 ", 143 , 145 ," $3,359,992.00 ", 145 ," $1,817,895.00 ",,11062
00212300,BECKER COLLEGE,MA,16150,Private-Nonprofit," 1,044 "," 1,044 "," $4,232,849.00 "," 1,044 "," $2,254,830.00 "," 1,145 "," 1,145 "," $3,711,651.00 "," 1,145 "," $1,975,033.00 ", 3 , 3 ," $53,144.00 ", 6 ," $35,428.00 ", 296 , 300 ," $5,581,528.00 ", 300 ," $2,901,002.00 ", -   , -   , $-   , -   , $-   ,,16150
00212400,BENTLEY UNIVERSITY,MA,24524,Private-Nonprofit," 1,522 "," 1,526 "," $6,855,269.00 "," 1,526 "," $3,505,137.00 "," 1,644 "," 1,682 "," $4,835,700.00 "," 1,682 "," $2,478,505.00 ", 151 , 151 ," $2,649,131.00 ", 151 ," $1,524,781.00 ", 183 , 202 ," $4,541,393.00 ", 202 ," $2,353,674.00 ", 14 , 16 ," $294,772.00 ", 16 ," $148,567.00 ",,24524
