,,,,, DL SUBSIDIZED- UNDERGRADUATE ,,,,, DL SUBSIDIZED- GRADUATE ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
02280500,CHARLES OF ITALY BEAUTY COLLEGE,AZ,86403,PROPRIETARY, 20 , 20 ," $56,931.00 ",21," $30,740.00 ", -   , -   , $-   ,0, $-   , 15 , 15 ," $60,328.00 ",15," $30,984.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02295000,EVEREST COLLEGE PHOENIX,AZ,85021,PROPRIETARY," 2,805 "," 2,818 "," $8,842,975.00 ","2,899"," $3,551,023.00 ", -   , -   , $-   ,0, $-   ," 2,711 "," 2,734 "," $13,458,659.00 ","2,818"," $5,418,037.00 ", -   , -   , $-   ,0, $-   , 47 , 47 ," $246,834.00 ",47," $105,406.00 ", -   , -   , $-   ,0, $-   
02317800,AMERICAN INSTITUTE OF TECHNOLOGY,AZ,85043,PROPRIETARY, 287 , 287 ," $732,265.00 ",301," $375,585.00 ", -   , -   , $-   ,0, $-   , 289 , 289 ," $744,451.00 ",304," $384,014.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $4,472.00 ",1," $2,236.00 ", -   , -   , $-   ,0, $-   
02361100,ITT TECHNICAL INSTITUTE,AZ,85704,PROPRIETARY, 226 , 226 ," $823,995.00 ",227," $333,881.00 ", -   , -   , $-   ,0, $-   , 223 , 223 ," $1,023,413.00 ",224," $418,761.00 ", -   , -   , $-   ,0, $-   , 42 , 42 ," $322,697.00 ",42," $124,672.00 ", -   , -   , $-   ,0, $-   
02491500,SOUTHWEST UNIVERSITY OF VISUAL ARTS,AZ,85716,PROPRIETARY, 42 , 42 ," $194,562.00 ",42," $100,708.00 ", -   , -   , $-   ,0, $-   , 36 , 36 ," $213,472.00 ",36," $107,535.00 ", -   , -   , $-   ,0, $-   , 3 , 3 ," $16,742.00 ",3," $12,742.00 ", -   , -   , $-   ,0, $-   
02521500,LAMSON COLLEGE,AZ,85284,PROPRIETARY, 45 , 45 ," $137,094.00 ",45," $64,021.00 ", -   , -   , $-   ,0, $-   , 45 , 45 ," $219,025.00 ",45," $99,729.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $16,562.00 ",4," $6,581.00 ", -   , -   , $-   ,0, $-   
02559000,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,85283,PROPRIETARY, 264 , 264 ," $1,122,313.00 ",265," $536,637.00 ", 20 , 20 ," $147,250.00 ",20," $83,500.00 ", 268 , 271 ," $1,025,118.00 ",272," $475,120.00 ", 20 , 20 ," $211,600.00 ",20," $116,550.00 ", 82 , 83 ," $1,543,762.00 ",86," $809,552.00 ", -   , -   , $-   ,0, $-   
02561900,BRILLARE HAIRDRESSING ACADEMY,AZ,85254,PROPRIETARY, 42 , 42 ," $141,119.00 ",42," $70,927.00 ", 1 , 1 ," $3,500.00 ",1," $1,750.00 ", 41 , 41 ," $166,692.00 ",41," $83,969.00 ", 1 , 1 ," $6,000.00 ",1," $3,000.00 ", 4 , 4 ," $18,275.00 ",4," $9,138.00 ", -   , -   , $-   ,0, $-   
02582700,CORTIVA INSTITUTE - TUCSON,AZ,85710,PROPRIETARY, 68 , 68 ," $170,191.00 ",78," $75,732.00 ", -   , -   , $-   ,0, $-   , 69 , 73 ," $250,470.00 ",87," $108,792.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02616700,LE CORDON BLEU COLLEGE OF CULINARY ARTS,AZ,85251,PROPRIETARY, 769 , 770 ," $2,867,891.00 ",778," $1,467,901.00 ", -   , -   , $-   ,0, $-   , 752 , 753 ," $3,837,841.00 ",769," $1,955,840.00 ", -   , -   , $-   ,0, $-   , 128 , 129 ," $1,404,190.00 ",137," $732,705.00 ", -   , -   , $-   ,0, $-   
02623600,PARADISE VALLEY COMMUNITY COLLEGE,AZ,85032,PUBLIC, 907 , 907 ," $2,914,554.00 ",907," $1,634,453.00 ", -   , -   , $-   ,0, $-   , 356 , 356 ," $1,468,301.00 ",356," $822,879.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $15,534.00 ",4," $7,767.00 ", -   , -   , $-   ,0, $-   
02623800,CORTIVA INSTITUTE - SCOTTSDALE,AZ,85257,PROPRIETARY, 43 , 43 ," $116,883.00 ",50," $49,515.00 ", -   , -   , $-   ,0, $-   , 44 , 45 ," $164,396.00 ",53," $70,910.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $11,500.00 ",1," $3,833.00 ", -   , -   , $-   ,0, $-   
03034400,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,85282,PROPRIETARY, 184 , 184 ," $438,992.00 ",184," $264,477.00 ", -   , -   , $-   ,0, $-   , 192 , 192 ," $520,804.00 ",192," $316,390.00 ", -   , -   , $-   ,0, $-   , 45 , 45 ," $538,629.00 ",45," $288,129.00 ", -   , -   , $-   ,0, $-   
03072200,CHANDLER - GILBERT COMMUNITY COLLEGE,AZ,85225,PUBLIC," 1,414 "," 1,415 "," $4,515,668.00 ","1,418"," $2,498,700.00 ", -   , -   , $-   ,0, $-   , 620 , 642 ," $2,395,994.00 ",643," $1,314,150.00 ", -   , -   , $-   ,0, $-   , 7 , 7 ," $43,198.00 ",7," $25,074.00 ", -   , -   , $-   ,0, $-   
03076400,BRYMAN SCHOOL OF ARIZONA (THE),AZ,85029,PROPRIETARY, 425 , 428 ," $1,295,823.00 ",428," $649,311.00 ", -   , -   , $-   ,0, $-   , 387 , 579 ," $1,416,262.00 ",579," $672,335.00 ", -   , -   , $-   ,0, $-   , 58 , 58 ," $264,873.00 ",58," $138,591.00 ", -   , -   , $-   ,0, $-   
03097800,CARSTEN INSTITUTE OF COSMETOLOGY,AZ,85282,PROPRIETARY, 37 , 37 ," $117,976.00 ",37," $60,584.00 ", -   , -   , $-   ,0, $-   , 34 , 34 ," $158,091.00 ",34," $76,239.00 ", -   , -   , $-   ,0, $-   , 3 , 3 ," $25,420.00 ",3," $12,710.00 ", -   , -   , $-   ,0, $-   
03100400,COCONINO COUNTY COMMUNITY COLLEGE,AZ,86001,PUBLIC, 593 , 596 ," $1,830,050.00 ",596," $1,041,345.00 ", -   , -   , $-   ,0, $-   , 481 , 484 ," $1,987,670.00 ",484," $1,131,098.00 ", -   , -   , $-   ,0, $-   , 11 , 11 ," $89,141.00 ",11," $52,462.00 ", -   , -   , $-   ,0, $-   
03107000,SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES,AZ,85282,PRIVATE, -   , -   , $-   ,0, $-   , 180 , 180 ," $507,591.00 ",180," $507,591.00 ", -   , -   , $-   ,0, $-   , 185 , 189 ," $1,633,535.00 ",189," $1,625,378.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $17,151.00 ",2," $17,151.00 "
03115000,ARIZONA COLLEGE,AZ,85302,PROPRIETARY, 128 , 128 ," $400,795.00 ",134," $148,071.00 ", -   , -   , $-   ,0, $-   , 125 , 125 ," $598,678.00 ",132," $222,720.00 ", -   , -   , $-   ,0, $-   , 13 , 13 ," $71,262.00 ",13," $26,106.00 ", -   , -   , $-   ,0, $-   
03120300,COLLEGEAMERICA - FLAGSTAFF,AZ,86004,PROPRIETARY, 86 , 86 ," $307,670.00 ",89," $167,712.00 ", -   , -   , $-   ,0, $-   , 82 , 82 ," $382,207.00 ",83," $212,715.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $4,252.00 ",1," $1,929.00 ", -   , -   , $-   ,0, $-   
03156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE,AZ,85392,PUBLIC," 1,524 "," 1,524 "," $4,813,569.00 ","1,526"," $2,712,573.00 ", -   , -   , $-   ,0, $-   , 658 , 659 ," $2,863,520.00 ",672," $1,589,155.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03478400,PHOENIX SEMINARY,AZ,85018,PRIVATE, -   , -   , $-   ,0, $-   , 21 , 21 ," $73,871.00 ",21," $36,942.00 ", -   , -   , $-   ,0, $-   , 9 , 9 ," $28,634.00 ",9," $14,319.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03593300,SOUTHWEST INSTITUTE OF HEALING ARTS,AZ,85281,PROPRIETARY, 28 , 30 ," $90,966.00 ",31," $45,492.00 ", -   , -   , $-   ,0, $-   , 26 , 27 ," $106,093.00 ",28," $53,617.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $6,589.00 ",1," $6,589.00 ", -   , -   , $-   ,0, $-   
03617500,PHOENIX INSTITUTE OF HERBAL MEDICINE & ACUPUNCTURE,AZ,85012,PROPRIETARY, 4 , 4 ," $22,000.00 ",4," $11,000.00 ", 63 , 63 ," $461,571.00 ",65," $254,727.00 ", 6 , 6 ," $34,500.00 ",6," $17,250.00 ", 62 , 62 ," $679,789.00 ",65," $372,243.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $19,046.00 ",3," $14,285.00 "
03740500,ART INSTITUTE OF TUCSON (THE),AZ,85712,PROPRIETARY, 79 , 79 ," $249,542.00 ",140," $173,239.00 ", -   , -   , $-   ,0, $-   , 74 , 74 ," $292,596.00 ",132," $203,173.00 ", -   , -   , $-   ,0, $-   , 20 , 20 ," $275,352.00 ",34," $183,897.00 ", -   , -   , $-   ,0, $-   
03813300,NORTHCENTRAL UNIVERSITY,AZ,86314,PROPRIETARY, 39 , 39 ," $148,841.00 ",54," $38,563.00 ", 689 , 690 ," $4,861,923.00 ",897," $1,230,891.00 ", 30 , 30 ," $171,808.00 ",38," $46,674.00 ", 680 , 680 ," $7,477,533.00 ","1,013"," $1,687,727.00 ", -   , -   , $-   ,0, $-   , 41 , 41 ," $521,125.00 ",46," $268,561.00 "
03814300,TURNING POINT BEAUTY COLLEGE,AZ,85122,PROPRIETARY, 27 , 28 ," $86,069.00 ",38," $62,238.00 ", -   , -   , $-   ,0, $-   , 25 , 26 ," $92,107.00 ",39," $74,089.00 ", -   , -   , $-   ,0, $-   , 3 , 3 ," $21,193.00 ",4," $16,346.00 ", -   , -   , $-   ,0, $-   
04051300,ART INSTITUTE OF PHOENIX (THE),AZ,85021,PROPRIETARY," 2,877 "," 2,933 "," $8,651,013.00 ","3,741"," $4,608,101.00 ", -   , -   , $-   ,0, $-   ," 2,906 "," 3,137 "," $10,776,275.00 ","3,947"," $5,667,013.00 ", -   , -   , $-   ,0, $-   , 390 , 401 ," $5,641,459.00 ",657," $3,494,712.00 ", -   , -   , $-   ,0, $-   
04059300,TUCSON COLLEGE OF BEAUTY,AZ,85705,PROPRIETARY, 16 , 16 ," $41,440.00 ",18," $27,143.00 ", -   , -   , $-   ,0, $-   , 15 , 15 ," $48,707.00 ",17," $31,197.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $7,700.00 ",1," $3,850.00 ", -   , -   , $-   ,0, $-   
04120900,ARIZONA CULINARY INSTITUTE,AZ,85259,PROPRIETARY, 45 , 45 ," $149,663.00 ",46," $75,711.00 ", -   , -   , $-   ,0, $-   , 45 , 45 ," $225,319.00 ",46," $115,439.00 ", -   , -   , $-   ,0, $-   , 20 , 20 ," $427,744.00 ",20," $215,365.00 ", -   , -   , $-   ,0, $-   
04131400,PHOENIX SCHOOL OF LAW,AZ,85004,PROPRIETARY, 4 , 4 ," $21,250.00 ",4," $10,625.00 ", 598 , 598 ," $4,275,873.00 ",600," $2,157,396.00 ", 4 , 4 ," $30,000.00 ",4," $15,000.00 ", 594 , 594 ," $6,054,176.00 ",595," $3,044,448.00 ", -   , -   , $-   ,0, $-   , 545 , 558 ," $15,161,896.00 ",566," $7,663,006.00 "
04139200,UNIVERSAL BARBER COLLEGE,AZ,85007,PROPRIETARY, 7 , 7 ," $14,023.00 ",10," $9,950.00 ", -   , -   , $-   ,0, $-   , 6 , 6 ," $2,365.00 ",9," $1,874.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04152900,STUDIO ACADEMY OF BEAUTY (THE),AZ,85224,PROPRIETARY, 19 , 19 ," $54,283.00 ",19," $27,728.00 ", -   , -   , $-   ,0, $-   , 19 , 19 ," $53,729.00 ",19," $21,142.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $19,430.00 ",4," $9,716.00 ", -   , -   , $-   ,0, $-   
04174200,ALL BEAUTY COLLEGE,AZ,86426,PROPRIETARY, 8 , 8 ," $25,396.00 ",8," $13,528.00 ", -   , -   , $-   ,0, $-   , 7 , 7 ," $27,603.00 ",7," $15,115.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00111100,ALLAN HANCOCK COLLEGE,CA,93454,PUBLIC, 2 , 2 ," $9,000.00 ",2," $4,500.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $6,000.00 ",1," $3,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00111300,ANTELOPE VALLEY COLLEGE,CA,93536,PUBLIC," 1,425 "," 1,428 "," $5,177,154.00 ","1,428"," $2,685,817.00 ", -   , -   , $-   ,0, $-   ," 1,260 "," 1,263 "," $6,524,867.00 ","1,263"," $3,373,893.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00111600,ART CENTER COLLEGE OF DESIGN,CA,91103,PRIVATE, 513 , 513 ," $1,845,527.00 ",516," $1,124,468.00 ", 58 , 58 ," $428,002.00 ",58," $245,222.00 ", 498 , 498 ," $1,789,311.00 ",500," $1,096,749.00 ", 55 , 55 ," $567,104.00 ",55," $324,668.00 ", 82 , 82 ," $2,874,634.00 ",83," $1,107,188.00 ", 35 , 36 ," $1,125,066.00 ",37," $441,556.00 "
00111700,AZUSA PACIFIC UNIVERSITY,CA,91702,PRIVATE," 1,874 "," 1,928 "," $7,985,066.00 ","1,928"," $4,223,352.00 "," 1,342 "," 1,360 "," $10,571,495.00 ","1,384"," $5,340,554.00 "," 1,878 "," 2,085 "," $6,487,053.00 ","2,085"," $3,546,227.00 "," 1,240 "," 1,289 "," $13,676,917.00 ","1,313"," $6,422,470.00 ", 867 , 923 ," $11,272,136.00 ",923," $5,964,696.00 ", 504 , 583 ," $6,185,101.00 ",595," $2,701,117.00 "
00111800,BAKERSFIELD COLLEGE,CA,93305,PUBLIC, 347 , 356 ," $1,335,292.00 ",356," $677,067.00 ", -   , -   , $-   ,0, $-   , 262 , 283 ," $1,072,900.00 ",283," $544,089.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00112000,AMERICAN BAPTIST SEMINARY OF THE WEST,CA,94704,PRIVATE, -   , -   , $-   ,0, $-   , 28 , 28 ," $208,237.00 ",28," $107,765.00 ", -   , -   , $-   ,0, $-   , 26 , 26 ," $274,431.00 ",26," $144,126.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00112100,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,CA,95066,PRIVATE, 31 , 31 ," $131,357.00 ",31," $66,518.00 ", -   , -   , $-   ,0, $-   , 26 , 26 ," $96,319.00 ",26," $48,161.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $9,000.00 ",1," $4,500.00 ", -   , -   , $-   ,0, $-   
00112200,BIOLA UNIVERSITY,CA,90639,PRIVATE," 2,304 "," 2,400 "," $10,199,998.00 ","2,400"," $5,302,313.00 ", 561 , 572 ," $4,253,082.00 ",572," $2,224,008.00 "," 2,378 "," 2,999 "," $7,363,229.00 ","2,999"," $3,748,821.00 ", 235 , 300 ," $2,621,205.00 ",300," $1,309,120.00 ", 503 , 526 ," $9,502,619.00 ",526," $4,957,802.00 ", 18 , 18 ," $111,478.00 ",18," $55,097.00 "
00112300,BROOKS INSTITUTE,CA,93103,PROPRIETARY, 314 , 322 ," $1,323,161.00 ",493," $538,527.00 ", 26 , 26 ," $204,118.00 ",26," $68,060.00 ", 337 , 348 ," $1,464,404.00 ",532," $604,946.00 ", 25 , 25 ," $249,414.00 ",25," $78,319.00 ", 163 , 171 ," $3,749,972.00 ",252," $1,408,135.00 ", 11 , 11 ," $227,128.00 ",11," $58,058.00 "
00112400,CABRILLO COLLEGE,CA,95003,PUBLIC, 18 , 18 ," $56,945.00 ",18," $29,313.00 ", -   , -   , $-   ,0, $-   , 13 , 13 ," $62,992.00 ",13," $32,725.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $12,363.00 ",1," $6,182.00 ", -   , -   , $-   ,0, $-   
00112500,CALIFORNIA BAPTIST UNIVERSITY,CA,92504,PRIVATE," 2,150 "," 2,155 "," $7,976,836.00 ","2,155"," $4,762,568.00 ", 617 , 617 ," $2,548,708.00 ",617," $2,548,384.00 "," 2,181 "," 2,191 "," $7,571,373.00 ","2,191"," $4,784,004.00 ", 548 , 548 ," $3,161,453.00 ",548," $3,161,003.00 ", 290 , 295 ," $4,368,120.00 ",296," $2,346,311.00 ", 19 , 19 ," $95,292.00 ",19," $87,951.00 "
00112700,CALIFORNIA COLLEGE OF THE ARTS,CA,94107,PRIVATE, 510 , 511 ," $2,269,912.00 ",511," $1,177,596.00 ", 262 , 262 ," $2,179,557.00 ",262," $1,105,559.00 ", 485 , 510 ," $1,929,708.00 ",510," $1,020,655.00 ", 291 , 294 ," $2,951,593.00 ",294," $1,580,831.00 ", 154 , 164 ," $1,951,751.00 ",164," $1,058,368.00 ", 204 , 252 ," $2,738,852.00 ",252," $1,385,117.00 "
00113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,91355,PRIVATE, 526 , 528 ," $2,341,790.00 ",528," $1,184,678.00 ", 402 , 402 ," $3,376,306.00 ",402," $1,745,201.00 ", 552 , 600 ," $1,977,806.00 ",600," $1,008,912.00 ", 381 , 382 ," $4,489,985.00 ",382," $2,289,193.00 ", 137 , 149 ," $3,823,112.00 ",149," $1,925,144.00 ", 218 , 235 ," $3,806,624.00 ",235," $1,897,115.00 "
00113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,91360,PRIVATE," 1,093 "," 1,093 "," $4,693,293.00 ","1,093"," $2,348,206.00 ", 509 , 509 ," $3,728,392.00 ",509," $1,525,381.00 "," 1,105 "," 1,105 "," $4,290,079.00 ","1,105"," $2,112,661.00 ", 460 , 460 ," $4,874,014.00 ",460," $1,962,626.00 ", 430 , 430 ," $6,252,633.00 ",430," $3,201,920.00 ", 47 , 47 ," $755,549.00 ",47," $319,311.00 "
00113400,CALIFORNIA MARITIME ACADEMY,CA,94590,PUBLIC, 387 , 387 ," $1,717,741.00 ",387," $884,363.00 ", -   , -   , $-   ,0, $-   , 372 , 380 ," $1,431,464.00 ",381," $744,562.00 ", -   , -   , $-   ,0, $-   , 135 , 137 ," $2,036,685.00 ",137," $1,045,480.00 ", -   , -   , $-   ,0, $-   
00113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,92831,PUBLIC," 5,337 "," 5,387 "," $22,827,295.00 ","5,395"," $11,992,909.00 "," 1,406 "," 1,419 "," $10,286,609.00 ","1,427"," $5,411,606.00 "," 4,467 "," 4,532 "," $20,924,964.00 ","4,537"," $10,969,360.00 ", 933 , 956 ," $8,467,397.00 ",957," $4,396,629.00 ", 85 , 86 ," $979,779.00 ",86," $493,178.00 ", 40 , 42 ," $544,132.00 ",42," $275,269.00 "
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,94542,PUBLIC," 1,069 "," 1,072 "," $4,189,625.00 ","1,072"," $1,542,334.00 ", 478 , 478 ," $3,458,336.00 ",478," $1,276,519.00 ", 960 , 983 ," $4,345,525.00 ",983," $1,642,118.00 ", 371 , 376 ," $3,518,408.00 ",376," $1,294,122.00 ", 125 , 125 ," $1,483,323.00 ",125," $518,534.00 ", 6 , 6 ," $21,206.00 ",6," $7,070.00 "
00113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,90840,PUBLIC," 7,197 "," 7,223 "," $30,164,483.00 ","7,246"," $15,987,694.00 "," 1,737 "," 1,743 "," $13,115,166.00 ","1,749"," $6,934,558.00 "," 5,368 "," 5,434 "," $22,412,606.00 ","5,443"," $11,958,614.00 "," 1,133 "," 1,138 "," $10,750,738.00 ","1,142"," $5,540,313.00 ", 151 , 151 ," $1,782,377.00 ",151," $912,923.00 ", 8 , 8 ," $49,000.00 ",8," $29,992.00 "
00114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,90032,PUBLIC," 2,832 "," 2,871 "," $11,830,576.00 ","2,871"," $4,446,507.00 ", 970 , 994 ," $6,641,416.00 ",994," $2,423,701.00 "," 1,497 "," 1,564 "," $7,799,575.00 ","1,565"," $3,053,110.00 ", 669 , 687 ," $5,956,575.00 ",688," $2,197,278.00 ", 1 , 1 ," $14,069.00 ",1," $4,690.00 ", 8 , 8 ," $102,656.00 ",8," $51,967.00 "
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,90747,PUBLIC," 2,733 "," 2,733 "," $12,421,496.00 ","2,742"," $6,644,879.00 ", 964 , 964 ," $7,340,400.00 ",970," $3,796,790.00 ", 749 , 753 ," $3,514,061.00 ",795," $1,779,922.00 ", 366 , 368 ," $2,985,726.00 ",394," $1,415,522.00 ", 6 , 6 ," $55,083.00 ",6," $27,542.00 ", 9 , 9 ," $78,247.00 ",9," $39,815.00 "
00114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,92407,PUBLIC," 5,153 "," 5,177 "," $21,124,001.00 ","5,181"," $7,838,020.00 ", 966 , 968 ," $6,866,385.00 ",968," $2,653,802.00 "," 3,786 "," 3,948 "," $16,580,689.00 ","3,953"," $6,327,404.00 ", 748 , 753 ," $6,578,292.00 ",754," $2,506,530.00 ", 146 , 147 ," $1,223,489.00 ",147," $469,207.00 ", 1 , 1 ," $6,000.00 ",1," $2,000.00 "
00114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,93407,PUBLIC," 3,567 "," 3,595 "," $14,476,784.00 ","3,595"," $5,173,056.00 ", 438 , 442 ," $3,252,198.00 ",442," $1,194,660.00 "," 4,080 "," 4,258 "," $15,642,307.00 ","4,258"," $5,617,377.00 ", 286 , 288 ," $2,511,440.00 ",288," $954,536.00 "," 1,751 "," 1,779 "," $21,133,068.00 ","1,779"," $7,436,759.00 ", 4 , 4 ," $31,242.00 ",4," $10,415.00 "
00114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,91768,PUBLIC," 2,428 "," 2,431 "," $10,252,631.00 ","2,431"," $3,620,614.00 ", 370 , 371 ," $2,246,369.00 ",371," $801,549.00 "," 2,129 "," 2,131 "," $9,308,766.00 ","2,131"," $3,315,742.00 ", 316 , 318 ," $3,102,369.00 ",318," $1,146,945.00 ", 34 , 35 ," $340,973.00 ",35," $114,163.00 ", 4 , 4 ," $18,794.00 ",4," $8,001.00 "
00114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,95929,PUBLIC," 4,315 "," 4,423 "," $17,894,690.00 ","4,423"," $9,612,624.00 ", 520 , 532 ," $3,947,947.00 ",532," $2,115,373.00 "," 2,238 "," 2,424 "," $8,892,464.00 ","2,424"," $4,926,213.00 ", 185 , 203 ," $1,549,346.00 ",203," $833,445.00 ", 241 , 243 ," $2,903,160.00 ",243," $1,530,479.00 ", 2 , 2 ," $15,356.00 ",2," $7,678.00 "
00114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,93740,PUBLIC," 4,495 "," 4,549 "," $18,589,382.00 ","4,549"," $9,986,791.00 ", 864 , 879 ," $6,147,172.00 ",879," $3,333,864.00 "," 3,419 "," 3,502 "," $14,231,412.00 ","3,502"," $7,677,456.00 ", 561 , 571 ," $4,723,878.00 ",571," $2,604,159.00 ", 164 , 166 ," $1,685,812.00 ",166," $865,360.00 ", 2 , 2 ," $9,942.00 ",2," $7,922.00 "
00114900,HUMBOLDT STATE UNIVERSITY,CA,95521,PUBLIC," 3,266 "," 3,270 "," $13,408,461.00 ","3,298"," $7,143,887.00 ", 251 , 252 ," $1,878,106.00 ",254," $1,000,640.00 "," 2,585 "," 2,591 "," $9,409,502.00 ","2,630"," $5,074,172.00 ", 167 , 167 ," $1,119,979.00 ",170," $579,367.00 ", 238 , 240 ," $2,485,676.00 ",240," $1,300,974.00 ", 2 , 3 ," $18,038.00 ",3," $9,019.00 "
00115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,95819,PUBLIC," 7,110 "," 7,117 "," $30,818,251.00 ","7,166"," $16,709,020.00 "," 1,252 "," 1,255 "," $9,172,842.00 ","1,265"," $5,084,033.00 "," 5,195 "," 5,206 "," $24,813,237.00 ","5,305"," $13,498,513.00 ", 844 , 845 ," $7,879,654.00 ",858," $4,277,956.00 ", 727 , 729 ," $7,749,532.00 ",729," $4,073,141.00 ", 7 , 7 ," $36,918.00 ",7," $19,048.00 "
00115100,SAN DIEGO STATE UNIVERSITY,CA,92182,PUBLIC," 5,993 "," 5,993 "," $24,459,321.00 ","5,993"," $13,079,564.00 "," 1,754 "," 1,755 "," $12,706,479.00 ","1,756"," $6,749,370.00 "," 5,392 "," 5,392 "," $22,867,515.00 ","5,392"," $12,244,019.00 "," 1,274 "," 1,274 "," $11,587,820.00 ","1,274"," $6,170,921.00 "," 1,080 "," 1,085 "," $13,038,815.00 ","1,085"," $6,801,827.00 ", 220 , 220 ," $1,208,826.00 ",220," $638,123.00 "
00115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,91330,PUBLIC," 8,207 "," 8,537 "," $34,867,652.00 ","8,573"," $18,712,123.00 "," 1,644 "," 1,646 "," $12,446,044.00 ","1,655"," $6,774,893.00 "," 5,779 "," 6,020 "," $23,920,588.00 ","6,028"," $13,074,212.00 "," 1,106 "," 1,123 "," $11,236,716.00 ","1,128"," $6,012,262.00 ", 178 , 182 ," $1,989,896.00 ",182," $1,024,439.00 ", 6 , 6 ," $36,960.00 ",6," $25,746.00 "
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,94132,PUBLIC," 8,028 "," 8,028 "," $34,886,194.00 ","8,082"," $18,536,177.00 "," 2,084 "," 2,084 "," $15,379,134.00 ","2,110"," $8,259,417.00 "," 6,336 "," 6,337 "," $27,885,305.00 ","6,472"," $14,777,741.00 "," 1,490 "," 1,491 "," $14,341,048.00 ","1,530"," $7,629,835.00 ", 910 , 910 ," $11,749,009.00 ",910," $5,865,235.00 ", 17 , 17 ," $155,302.00 ",17," $80,407.00 "
00115500,SAN JOSE STATE UNIVERSITY,CA,95192,PUBLIC," 5,066 "," 5,129 "," $21,185,156.00 ","5,129"," $11,275,160.00 "," 2,072 "," 2,100 "," $15,668,434.00 ","2,102"," $8,407,973.00 "," 4,013 "," 4,149 "," $16,503,332.00 ","4,149"," $8,822,830.00 "," 1,343 "," 1,396 "," $13,017,624.00 ","1,397"," $6,789,983.00 ", 185 , 187 ," $2,217,580.00 ",187," $1,126,071.00 ", 18 , 18 ," $110,050.00 ",18," $55,068.00 "
00115600,SONOMA STATE UNIVERSITY,CA,94928,PUBLIC," 2,142 "," 2,146 "," $8,885,514.00 ","2,153"," $4,806,728.00 ", 286 , 286 ," $2,162,532.00 ",286," $1,140,075.00 "," 2,015 "," 2,067 "," $8,700,244.00 ","2,073"," $4,719,292.00 ", 220 , 220 ," $2,439,362.00 ",220," $1,322,828.00 ", 605 , 606 ," $7,389,829.00 ",606," $3,902,126.00 ", -   , -   , $-   ,0, $-   
